Articles,Prepositions,Conjunctions,Conjunctive adverbs,Past-perfect forming verbs,Present-perfect forming verbs,Helping verbs,Linking verbs,Demonstrative pronouns,Possessive pronouns,Interrogative pronouns,Relative pronouns,Personal pronouns,Reciprocal pronouns,Reflexive pronouns,Indefinite pronouns
a,a,and,accordingly,had,has,am,am ,that,her,what,that,I,each other,herself,all
an,abaft,as if,additionally,,have,are,an,these,hers,which,which,he,one another,himself,another
the,aboard,because,also,,,be,appear ,this,his,who,who,her,,itself,any
,about,both,besides,,,been,are,those,its,whom,whom,him,,ourself,anybody
,above,but,comparatively,,,being,are ,,mine,whose,whose,it,,ourselves,anyone
,absent,either,consequently,,,can,are being ,,my,,,me,,themself,anything
,according to,for,conversely,,,could,be,,our,,,she,,themselves,both
,across,given that,elsewhere,,,did,became ,,ours,,,them,,yourself,each
,afore,if,equally,,,do,become ,,their,,,they,,yourselves,either
,after,just as,finally,,,does,becomes ,,theirs,,,us,,,everybody
,against,neither,further,,,had,feel,,your,,,we,,,everyone
,ahead of,nor,furthermore,,,has,get ,,yours,,,you,,,everything
,along,not only,hence,,,have,grow ,,,,,,,,few
,alongside,or,henceforth,,,is,had become ,,,,,,,,many
,amid,so,however,,,may,had been ,,,,,,,,more
,amidst,such as,in addition,,,might,had seemed,,,,,,,,most
,among,where,in comparison,,,must,has,,,,,,,,neither
,amongst,whether,in contrast,,,shall,has become,,,,,,,,no one
,an,which is to say,indeed,,,should,has been,,,,,,,,nobody
,anenst,yet,instead,,,was,has seemed,,,,,,,,none
,apart from,,likewise,,,were,have become,,,,,,,,nothing
,apropos,,meanwhile,,,will,have been,,,,,,,,one
,apud,,moreover,,,would,have seemed,,,,,,,,other
,around,,namely,,,,is,,,,,,,,several
,as,,nevertheless,,,,is,,,,,,,,some
,as far as,,next,,,,is being,,,,,,,,somebody
,as for,,nonetheless,,,,look,,,,,,,,someone
,as long as,,now,,,,might have been,,,,,,,,something
,as of,,otherwise,,,,prove,,,,,,,,
,as opposed to,,rather,,,,remain,,,,,,,,
,as per,,similarly,,,,seemed,,,,,,,,
,as regards,,still,,,,seeming,,,,,,,,
,as soon as,,subsequently,,,,seems,,,,,,,,
,as well as,,then,,,,smell,,,,,,,,
,aside,,thereafter,,,,sound,,,,,,,,
,aside from,,thereby,,,,stay,,,,,,,,
,at,,therefore,,,,taste,,,,,,,,
,at the behest of,,thus,,,,to be,,,,,,,,
,athwart,,yet,,,,to become,,,,,,,,
,atop,,,,,,to seem,,,,,,,,
,back to,,,,,,turn,,,,,,,,
,barring,,,,,,was,,,,,,,,
,because of,,,,,,was,,,,,,,,
,before,,,,,,was being,,,,,,,,
,behind,,,,,,were,,,,,,,,
,below,,,,,,were,,,,,,,,
,beneath,,,,,,will become,,,,,,,,
,beside,,,,,,will have become,,,,,,,,
,besides,,,,,,will have been,,,,,,,,
,between,,,,,,will seem,,,,,,,,
,betwixt,,,,,,,,,,,,,,
,beyond,,,,,,,,,,,,,,
,but,,,,,,,,,,,,,,
,by,,,,,,,,,,,,,,
,by means of,,,,,,,,,,,,,,
,by virtue of,,,,,,,,,,,,,,
,circa,,,,,,,,,,,,,,
,close to,,,,,,,,,,,,,,
,concerning,,,,,,,,,,,,,,
,considering,,,,,,,,,,,,,,
,cum,,,,,,,,,,,,,,
,despite,,,,,,,,,,,,,,
,down,,,,,,,,,,,,,,
,due to,,,,,,,,,,,,,,
,during,,,,,,,,,,,,,,
,except,,,,,,,,,,,,,,
,except for,,,,,,,,,,,,,,
,excluding,,,,,,,,,,,,,,
,falling,,,,,,,,,,,,,,
,far from,,,,,,,,,,,,,,
,following,,,,,,,,,,,,,,
,for,,,,,,,,,,,,,,
,for the sake of,,,,,,,,,,,,,,
,forenenst,,,,,,,,,,,,,,
,from,,,,,,,,,,,,,,
,given,,,,,,,,,,,,,,
,in,,,,,,,,,,,,,,
,in accordance with,,,,,,,,,,,,,,
,in addition to,,,,,,,,,,,,,,
,in case of,,,,,,,,,,,,,,
,in front of,,,,,,,,,,,,,,
,in lieu of,,,,,,,,,,,,,,
,in order to,,,,,,,,,,,,,,
,in place of,,,,,,,,,,,,,,
,in point of,,,,,,,,,,,,,,
,in spite of,,,,,,,,,,,,,,
,in to,,,,,,,,,,,,,,
,including,,,,,,,,,,,,,,
,inside,,,,,,,,,,,,,,
,inside of,,,,,,,,,,,,,,
,instead of,,,,,,,,,,,,,,
,into,,,,,,,,,,,,,,
,left of,,,,,,,,,,,,,,
,lest,,,,,,,,,,,,,,
,like,,,,,,,,,,,,,,
,mid,,,,,,,,,,,,,,
,midst,,,,,,,,,,,,,,
,minus,,,,,,,,,,,,,,
,modulo,,,,,,,,,,,,,,
,near,,,,,,,,,,,,,,
,near to,,,,,,,,,,,,,,
,nee,,,,,,,,,,,,,,
,next,,,,,,,,,,,,,,
,next to,,,,,,,,,,,,,,
,nigh,,,,,,,,,,,,,,
,notwithstanding,,,,,,,,,,,,,,
,o,,,,,,,,,,,,,,
,of,,,,,,,,,,,,,,
,off,,,,,,,,,,,,,,
,on,,,,,,,,,,,,,,
,on account of,,,,,,,,,,,,,,
,on behalf of,,,,,,,,,,,,,,
,on to,,,,,,,,,,,,,,
,on top of,,,,,,,,,,,,,,
,onto,,,,,,,,,,,,,,
,opposite,,,,,,,,,,,,,,
,out,,,,,,,,,,,,,,
,out from,,,,,,,,,,,,,,
,out of,,,,,,,,,,,,,,
,outside,,,,,,,,,,,,,,
,outside of,,,,,,,,,,,,,,
,over,,,,,,,,,,,,,,
,owing to,,,,,,,,,,,,,,
,pace,,,,,,,,,,,,,,
,past,,,,,,,,,,,,,,
,per,,,,,,,,,,,,,,
,plus,,,,,,,,,,,,,,
,prior to,,,,,,,,,,,,,,
,pro,,,,,,,,,,,,,,
,pursuant to,,,,,,,,,,,,,,
,qua,,,,,,,,,,,,,,
,rather than,,,,,,,,,,,,,,
,regarding,,,,,,,,,,,,,,
,regardless of,,,,,,,,,,,,,,
,respecting,,,,,,,,,,,,,,
,right of,,,,,,,,,,,,,,
,round,,,,,,,,,,,,,,
,sans,,,,,,,,,,,,,,
,save,,,,,,,,,,,,,,
,since,,,,,,,,,,,,,,
,subsequent to,,,,,,,,,,,,,,
,such as,,,,,,,,,,,,,,
,than,,,,,,,,,,,,,,
,thanks to,,,,,,,,,,,,,,
,that of,,,,,,,,,,,,,,
,through,,,,,,,,,,,,,,
,throughout,,,,,,,,,,,,,,
,thru,,,,,,,,,,,,,,
,til,,,,,,,,,,,,,,
,till,,,,,,,,,,,,,,
,times,,,,,,,,,,,,,,
,to,,,,,,,,,,,,,,
,toward,,,,,,,,,,,,,,
,towards,,,,,,,,,,,,,,
,under,,,,,,,,,,,,,,
,underneath,,,,,,,,,,,,,,
,unlike,,,,,,,,,,,,,,
,until,,,,,,,,,,,,,,
,unto,,,,,,,,,,,,,,
,up,,,,,,,,,,,,,,
,up to,,,,,,,,,,,,,,
,upon,,,,,,,,,,,,,,
,versus,,,,,,,,,,,,,,
,via,,,,,,,,,,,,,,
,vice,,,,,,,,,,,,,,
,vis-a-vis,,,,,,,,,,,,,,
,w/,,,,,,,,,,,,,,
,w/in,,,,,,,,,,,,,,
,w/out,,,,,,,,,,,,,,
,where as,,,,,,,,,,,,,,
,with,,,,,,,,,,,,,,
,with a view to,,,,,,,,,,,,,,
,with regard to,,,,,,,,,,,,,,
,with respect to,,,,,,,,,,,,,,
,within,,,,,,,,,,,,,,
,without,,,,,,,,,,,,,,
,worth,,,,,,,,,,,,,,
